PCD;NominalSize1;Table1;NominalSize2;Table2;NominalSize3;Table3;NominalSize4;Table4;NominalSize5;Table5;NominalSize6;Table6;NominalSize7;Table7;NominalSize8;Table8;NominalSize9;Table9;NominalSize10;Table10
55;15;6/3;15;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60.3;15;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
65;15;10/3;15;16/3;15;25/3;15;40/3;15;1000/3;15;1600/3;15;2500/3;15;4000/3;20;6/3;20;600/3
66.7;15;D/3;15;E/3;15;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
69.8;20;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
73;20;D/3;20;E/3;20;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
75;20;10/3;20;16/3;20;25/3;20;40/3;20;1000/3;20;1600/3;20;2500/3;20;4000/3;25;6/3;25;600/3
79.4;25;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
82.6;25;D/3;25;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
85;25;10/3;25;16/3;25;25/3;25;40/3;25;1000/3;25;1600/3;25;2500/3;25;4000/3;-;-;-;-
87.3;32;D/3;32;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
90;32;6/3;32;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
97.3;25;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
98.4;32;F/3;40;D/3;40;E/3;40;ASA150;-;-;-;-;-;-;-;-;-;-;-;-
100;32;10/3;32;16/3;32;25/3;32;40/3;32;1000/3;32;1600/3;32;2500/3;32;4000/3;40;6/3;40;600/3
104.8;40;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110;40;10/3;40;16/3;40;25/3;40;40/3;40;1000/3;40;1600/3;40;2500/3;40;4000/3;50;6/3;50;600/3
114.3;50;D/3;50;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120.6;50;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
125;50;10/3;50;16/3;50;25/3;50;40/3;50;1000/3;50;1600/3;50;2500/3;50;4000/3;-;-;-;-
127;50;F/3;65;D/3;65;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130;65;6/3;65;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
139.7;65;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
145;65;10/3;65;16/3;65;25/3;65;40/3;65;1000/3;65;1600/3;65;2500/3;65;4000/3;-;-;-;-
146;65;F/3;80;D/3;80;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150;80;6/3;80;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
152.4;80;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160;80;10/3;80;16/3;80;25/3;80;40/3;80;1000/3;80;1600/3;80;2500/3;80;4000/3;-;-;-;-
165.1;80;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170;100;6/3;100;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
177.8;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
180;100;10/3;100;16/3;100;1000/3;100;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
190;100;25/3;100;40/3;100;2500/3;100;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
190.5;100;F/3;100;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
200;125;6/3;125;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
209.6;125;D/3;125;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
210;125;10/3;125;25/3;125;1000/3;125;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
215.9;125;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
220;125;25/3;125;40/3;125;2500/3;125;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
225;150;6/3;150;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
234.9;125;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
235;150;D/3;150;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240;150;10/3;150;25/3;150;1000/3;150;2500/3;-;-;-;-;-;-;-;-;-;-;-;-
241.3;150;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250;150;25/3;150;40/3;150;2500/3;150;4000/3;-;-;-;-;-;-;-;-;-;-;-;-
260.4;150;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280;200;6/3;200;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
292.1;200;D/3;200;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
295;200;10/3;200;16/3;200;1000/3;200;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
298.4;200;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
310;200;25/3;200;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
320;200;40/3;200;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
323.9;200;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
335;250;6/3;250;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350;250;10/3;250;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355;250;16/3;250;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355.6;250;D/3;250;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
361.9;250;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
370;250;25/3;250;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
381.1;250;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
385;250;40/3;250;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
395;300;6/3;300;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
400;300;10/3;300;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
406.4;300;D/3;300;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
410;300;16/3;300;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430;300;25/3;300;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431.8;300;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
438.2;300;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
450;300;40/3;300;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-

